query_id	mode	marker	variant	sequence_evidence	fast_subject	fast_label	fast_pident	fast_aln_length	best_target_subject	best_target_score	best_offtarget_subject	best_offtarget_score	target_minus_offtarget_margin	blast_subject	blast_taxid	header_kingdom	resolved_superkingdom	resolved_kingdom	legacy_guard	target_filter_expectation
chain_a_lr799917_clean	A	COI	clean	confirmed_bacterial	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	COI|Bacteria	100.00	531	COI|Metazoa|KM831271.1	539	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	841	-302	BOLD_COI-5P_GBCL13897-12|kraken:taxid|414942	414942	Metazoa	Eukaryota	Metazoa	keep	exclude_off_target
chain_a_wolbachia_clean	A	COI	clean	confirmed_bacterial	COI|Bacteria|Wolbachia	COI|Bacteria	100.00	470	COI|Metazoa|MN131962.1	307	COI|Bacteria|Wolbachia	742	-435	BOLD_COI-5P_GBMHH30183-19|kraken:taxid|2218150	2218150	Metazoa	Eukaryota	Metazoa	keep	exclude_off_target
chain_b1_d11038_clean	B1	COI	clean	confirmed_bacterial	COI|Bacteria|Bacillus	COI|Bacteria	100.00	532			COI|Bacteria|Bacillus	843		D11038_1|kraken:taxid|1386	1386	Metazoa	Bacteria		keep_empty	exclude_off_target
b2_hypothesis_gbbac4514_clean	B2_UNSUPPORTED	COI	clean	off_target_supported	COI|Bacteria|lcl|JRKP01000005.1_cds_KGJ19050.1_38	COI|Bacteria	100.00	532			COI|Bacteria|lcl|JRKP01000005.1_cds_KGJ19050.1_38	843		BOLD_COI-5P_GBBAC4514-15|kraken:taxid|265	265	Metazoa	Bacteria		keep_empty	exclude_off_target
synthetic_collision_coi_neg557_clean	SYNTHETIC	COI	clean	target_metazoa	COI|Metazoa|KR559013.2	COI|Metazoa	90.65	524	COI|Metazoa|KR559013.2	675	COI|Bacteria|lcl|MBQA01000111.1_cds_BB427_23485_1	487	188	BOLD_COI-3P_GACAC695-12|kraken:taxid|-557	-557	Metazoa	Synthetic	Viridiplantae	reject	retain_metazoa
control_metazoa_human_clean	CONTROL_HUMAN_OFFTARGET	COI	clean	off_target_human	COI|Human|lcl|EU586511.1_gene_1	COI|Human	99.06	532	COI|Metazoa|HG800486.1	770	COI|Human|lcl|EU586511.1_gene_1	827	-57	MK248310_1|kraken:taxid|9606	9606	Metazoa	Eukaryota	Metazoa	keep	exclude_off_target
synthetic_collision_its2_neg561_clean	SYNTHETIC	ITS2	clean	target_viridiplantae	ITS2|Viridiplantae|KJ918497.1	ITS2|Viridiplantae	98.26	230	ITS2|Viridiplantae|KJ918497.1	342				BOLD_ITS2_ITSAQ263-14|kraken:taxid|-561	-561	Viridiplantae	Synthetic	Viridiplantae	keep	retain_viridiplantae
control_viridiplantae_arabidopsis_clean	CONTROL	ITS2	clean	target_viridiplantae	ITS2|Viridiplantae|LC089989.1	ITS2|Viridiplantae	99.61	775	ITS2|Viridiplantae|LC089989.1	1220	ITS2|Fungi|LC425685.1	572	648	LC089989_1|kraken:taxid|3702	3702	Viridiplantae	Eukaryota	Viridiplantae	keep	retain_viridiplantae
chain_a_lr799917_hac	A	COI	hac	confirmed_bacterial	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	COI|Bacteria	98.31	533	COI|Metazoa|KM831271.1	473	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	772	-299	BOLD_COI-5P_GBCL13897-12|kraken:taxid|414942	414942	Metazoa	Eukaryota	Metazoa	keep	exclude_off_target
chain_a_lr799917_fast	A	COI	fast	confirmed_bacterial	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	COI|Bacteria	94.39	535	COI|Metazoa|KM831271.1	386	COI|Bacteria|lcl|LR799917.1_cds_CAB5277966.1_1	675	-289						not_evaluated	exclude_off_target
chain_a_wolbachia_hac	A	COI	hac	confirmed_bacterial	COI|Bacteria|Wolbachia	COI|Bacteria	98.31	472	COI|Metazoa|KY123139.1	313	COI|Bacteria|Wolbachia	675	-362	BOLD_COI-5P_GBMHH30183-19|kraken:taxid|2218150	2218150	Metazoa	Eukaryota	Metazoa	keep	exclude_off_target
chain_a_wolbachia_fast	A	COI	fast	confirmed_bacterial	COI|Bacteria|Wolbachia	COI|Bacteria	94.51	474	COI|Metazoa|MN131962.1	171	COI|Bacteria|Wolbachia	577	-406						not_evaluated	exclude_off_target
