reference_id	stored_taxid	header_kingdom	best_bacterial_subject	best_bacterial_label	pident	aln_length	query_length	query_coverage	evalue	bitscore	subject_evidence	target_filter_evidence	evidence_tier
D11038_1|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|Bacillus	COI|Bacteria	100.00	1614	1614	100.00	0	2.55e+03	named Bacillus COI record	off_target_supported	high
BOLD_COI-5P_GBBAC4514-15|kraken:taxid|265	265	Metazoa	COI|Bacteria|lcl|JRKP01000005.1_cds_KGJ19050.1_38	COI|Bacteria	100.00	723	723	100.00	0	1.14e+03	annotated bacterial genomic cytochrome-c-oxidase-I CDS	off_target_supported	high
BOLD_COI-5P_GBBAC6247-15|kraken:taxid|613	613	Metazoa	COI|Bacteria|Salmonella	COI|Bacteria	79.85	660	666	99.10	1.5e-181	625	named Salmonella whole-genome record	off_target_supported	moderate
BOLD_COI-5P_GBBAC6117-15|kraken:taxid|613	613	Metazoa	COI|Bacteria|lcl|CP084350.1_cds_UCM48777.1_3357	COI|Bacteria	81.38	666	666	100.00	1.3e-194	663	annotated bacterial genomic cytochrome-o-ubiquinol-oxidase-I CDS	off_target_supported	moderate
BOLD_COI-5P_GBBAC3087-15|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|lcl|NZ_CP063151.1_cds_WP_003227407.1_3953	COI|Bacteria	99.54	657	657	100.00	0	1.03e+03	annotated bacterial genomic cytochrome-aa3-quinol-oxidase-I CDS	off_target_supported	high
BOLD_COI-5P_GBBAC3139-15|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|lcl|CP065791.1_cds_QPV79045.1_1476	COI|Bacteria	99.08	651	651	100.00	0	1.01e+03	annotated bacterial genomic ctaD CDS	off_target_supported	high
BOLD_COI-5P_GBBAC3211-15|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|lcl|QWEG01000011.1_cds_RHW36538.1_199	COI|Bacteria	83.77	647	651	99.39	7.2e-206	693	annotated bacterial genomic ctaD CDS	off_target_supported	moderate
BOLD_COI-5P_GBBAC3213-15|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|lcl|NZ_JAAIUV010000002.1_cds_G4Z05_RS01480_25	COI|Bacteria	97.08	651	651	100.00	2.9e-309	971	annotated bacterial genomic ctaD CDS	off_target_supported	high
BOLD_COI-5P_GBBAC3207-15|kraken:taxid|1386	1386	Metazoa	COI|Bacteria|lcl|NZ_JABAIT010000021.1_cds_HHO41_RS16770_66	COI|Bacteria	83.33	636	651	97.70	1.4e-198	672	annotated bacterial genomic ctaD CDS	off_target_supported	moderate
BOLD_COI-5P_GBBAC3418-15|kraken:taxid|1372	1372	Metazoa	COI|Bacteria|lcl|MBMU01000024.1_cds_OHX53422.1_27	COI|Bacteria	89.86	651	651	100.00	4.2e-253	822	annotated bacterial genomic cytochrome-c-oxidase-I CDS	off_target_supported	moderate
