fixture_id	mechanism	cluster	source_artifact	sequence_id	stored_taxid	stored_target	sequence_length	sequence_sha256	expected_origin	expected_target_membership	expected_current_signature	expected_corrected_outcome	evidence_status	notes
A_LR799917_BACTERIAL	A	uncultured_rickettsial	db/targets_All_tagged_nr95.fa	LR799917.1	77133	Bacteria	531	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	Bacteria	inconsistent	COI|Bacteria decoy	bacterial_or_off_target	confirmed	NCBI bacterial CDS used as comparator for the Silphidae host-labelled records
A_SILPHIDAE_CALOSILPHA	A	uncultured_rickettsial	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBCL13897-12	414942	Metazoa	647	e412c8369f2239d79abb0fb29ef61db9b3004040b8ffdf6cbf164cf34f6a58ea	Bacteria	inconsistent	clean Metazoa taxid despite bacterial-origin sequence	bacterial_or_ambiguous	confirmed	Near-identical to LR799917-class bacterial coxA while carrying host beetle taxid
A_SILPHIDAE_PTOMASCOPUS	A	uncultured_rickettsial	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBCL13905-12	110188	Metazoa	663	5f4e81daade8b5edcfd1dbd50c6f09e251b66e084dff3c375c789677c95897dd	Bacteria	inconsistent	clean Metazoa taxid despite bacterial-origin sequence	bacterial_or_ambiguous	confirmed	Near-identical to LR799917-class bacterial coxA while carrying host beetle taxid
A_WOLBACHIA_CONTROL	control	wolbachia	db/targets_All_tagged_nr95.fa	MG988837.1	NA	Bacteria	470	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	Bacteria	inconsistent	COI|Bacteria decoy	bacterial_or_off_target	confirmed	Lineage-breadth control; no host-labelled animal counterpart adjudicated in Phase 1
A_RICKETTSIA_CONTROL	control	rickettsia	db/targets_All_tagged_nr95.fa	OQ374915.1	NA	Bacteria	749	0ea28ed6d70ccb6576a4e79dfe1f1be3fc345187e9f3319aa0cf9c6ab605187f	Bacteria	inconsistent	COI|Bacteria decoy	bacterial_or_off_target	confirmed	Lineage-breadth control
B1_D11038	B1	bacillus_bacterium	db/COInr98_2024Jun_RioNegro_Brazil.fasta	D11038_1	1386	Metazoa_header	1614	0d3273229157944467e4ea9d2eb283b1bc33a7176074301e6baa32ea55b7feb3	Bacteria	inconsistent	bacterial taxid with blank TaxonKit kingdom retained under COI	bacterial_or_off_target	confirmed	Genuine Bacillus sp. PS3 sequence in the animal database
B2_PARACOCCUS	B2	paracoccus_homonym	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBBAC4514-15	265	Metazoa_header	723	ce03a13fecbaf4c26b53b5528353ca8d5e4583775149d32ac068cb7edfd7ff53	Animal	consistent	genuine animal rejected or displayed with bacterial taxonomy	animal_after_taxid_correction	confirmed	Representative of one BOLD Paracoccus homonym record
B2_SERRATIA	B2	serratia_homonym	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBBAC6247-15	613	Metazoa_header	666	b2b546adf36818172a4fa6e3d93a08dec1cb018060140bea9f32a1dab2625912	Animal	consistent	genuine animal rejected or displayed with bacterial taxonomy	animal_after_taxid_correction	confirmed	Representative of two BOLD Serratia homonym records
B2_BACILLUS	B2	bacillus_homonym	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBBAC3087-15	1386	Metazoa_header	657	2edcb7da9e712cfdd2e7ae524c8899eec2ea4c962ebc265fc7842c5141561cfb	Animal	consistent	genuine animal rejected or displayed with bacterial taxonomy	animal_after_taxid_correction	confirmed	Representative of five BOLD Bacillus homonym records
B2_PLANOCOCCUS	B2	planococcus_homonym	db/COInr98_2024Jun_RioNegro_Brazil.fasta	BOLD_COI-5P_GBBAC3418-15	1372	Metazoa_header	651	ddcacc63b7fd1bbfb7d51a5861775cca825cedfa0f5b0857f8df7004fe3d4089	Animal	consistent	genuine animal rejected or displayed with bacterial taxonomy	animal_after_taxid_correction	confirmed	Representative of one BOLD Planococcus homonym record
