query_id	source_accession	query_sequence_sha256	reference_id	stored_taxid	header_kingdom	header_lineage	reference_sequence_sha256	query_length	reference_length	pident	alignment_length	shorter_sequence_coverage	evalue	bitscore	discovery_tier	review_status
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_GBCL13897-12	414942	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Silphidae;g__Calosilpha;s__Calosilpha_brunnicollis	e412c8369f2239d79abb0fb29ef61db9b3004040b8ffdf6cbf164cf34f6a58ea	531	647	98.876	534	100.000	0.0	935	priority	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_ISUP118-14	-2704	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Galerita;s__Galerita_bicolor	9bd2cfd4e3066395d63d11f7130e39e8dccb5db4de2157493bfff01395d16036	531	652	98.876	534	100.000	0.0	935	priority	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_GBCL13905-12	110188	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Silphidae;g__Ptomascopus;s__Ptomascopus_morio	5f4e81daade8b5edcfd1dbd50c6f09e251b66e084dff3c375c789677c95897dd	531	663	98.127	534	100.000	0.0	913	priority	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_BLPAA19055-20	82588	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Saturniidae;g__Automeris;s__	b73e511c34ec207c419db6fbb46f8b2bb79721cbb312e866015e9c7253262711	531	624	91.386	534	100.000	0.0	755	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_CNKJH378-14	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	3971d088b478296616b55dfe75bfe4e0ce00b86639409a86f3aae12bb00a07ad	531	552	89.583	528	99.435	0.0	708	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_BMBFM158-19	135865	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Atheta;s__	a1af8c920e107498dfc2052991b926da8d690aad367bbfe1e84a13ce8e2e22d3	531	651	89.139	534	100.000	0.0	700	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_DTIII5536-22	1763974	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Diapriidae;g__Zygota;s__	ae1e58fb3735fe71ab816d68474cfd7780ee9d462a017ed454e4991ec8bb5e98	531	642	89.077	531	100.000	0.0	697	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_ASINH019-12	203808	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Bombus;s__Bombus_digressus	c174e776601f2ead39355d2cc047f7458f27e781b13bc074892d77e64c314fe0	531	652	88.764	534	100.000	0.0	691	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_CNJAC356-12	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	d880cfee01ce608cc481047adbe6ea9f162fafdaec0eb98ffd112a52802659b3	531	626	88.512	531	100.000	0.0	682	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_GMARL1332-14	29035	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__;s__	46402d11288950271b062a1691f4697e58b57804bc1c88134fed9a1091d1f73f	531	637	88.390	534	100.000	0.0	682	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_BMBFM083-18	201906	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Dryophthorus;s__	d3762135240d044bf2d3fbf623859178bec27d45d0ff0f960f80e8079f73504f	531	651	88.368	533	100.000	0.0	681	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_GBAH20470-19	297369	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Utetes;s__	bc8e6298fb7b4f3f7536266bb5f98e7eeb4cd084840cfeeb32475d99aab2176e	531	653	88.224	535	100.000	0.0	676	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_NZIND358-22	-5712	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptiliidae;g__Notoptenidium;s__	2e30eaad9563d7dd398329579031065debe285a7131361716675933e186337c8	531	652	88.015	534	100.000	0.0	673	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_DTNHM4263-22	986713	Metazoa	k__Metazoa;p__Arthropoda;c__Malacostraca;o__Isopoda;f__Armadillidiidae;g__Armadillidium;s__Armadillidium_depressum	ddcc0ca4a37051626221ae383e294f6feec15acaccd30b92ec3cff911db1826a	531	706	87.453	534	100.000	0.0	660	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_FINCO004-20	370032	Metazoa	k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotomiella;s__Isotomiella_minor	4334a72d36c59f3d608d76fb572883b513975fcf4d3fe9ee66950d9952479e84	531	645	87.266	534	100.000	0.0	655	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_SSBAD5954-13	700654	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Hahniidae;g__Hahnia;s__	4cf586999fc9c1c6e73832bb1a17ce2c0d62dd2839eeed6984362c13c6fc42fb	531	601	87.079	534	100.000	0.0	651	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_CHOLE080-10	651982	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Leiodidae;g__Catops;s__Catops_coracinus	05b70915404166085c7741e06d65d29d81d5c8f25fb0a71e8cfb967f68a016e4	531	600	86.704	534	100.000	0.0	643	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	KP422389_1	29026	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__	8782187956fbb09af388f9b9cea7d86ec6f7168432a8745a5db5bd3a851a8761	531	651	85.687	531	100.000	2.52e-174	614	review	pending_adjudication
lr799917	LR799917.1	8fa83611a1ecb4b145fd4bae4dbb8e78f791b5e340468d7c5e4e70d14b895b18	BOLD_COI-5P_BETN15653-23	-2668	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Cyclotrachelus;s__Cyclotrachelus_freitagi	5d46ac6bfa057bb72a396200d76add13ef6ecc6abe2844a15e0318242a7fce7d	531	574	86.639	479	90.207	2.21e-162	574	review	pending_adjudication
