reference_id	reference_sequence_sha256	stored_taxid	header_class	header_order	header_family	bacterial_control_accession	bacterial_pident	bacterial_alignment_length	bacterial_shorter_sequence_coverage	cross_family_reference_id	cross_family_reference_taxid	cross_family_reference_class	cross_family_reference_order	cross_family_reference_family	cross_family_pident	cross_family_alignment_length	cross_family_shorter_sequence_coverage	component_id	component_size	component_family_count	disposition	notes
BOLD_COI-5P_BLPAA19055-20	b73e511c34ec207c419db6fbb46f8b2bb79721cbb312e866015e9c7253262711	82588	Insecta	Lepidoptera	Saturniidae	LR799917.1	91.386	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_CNKJH378-14	3971d088b478296616b55dfe75bfe4e0ce00b86639409a86f3aae12bb00a07ad	33406	Insecta	Diptera	Cecidomyiidae	LR799917.1	89.583	528	99.435									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_BMBFM158-19	a1af8c920e107498dfc2052991b926da8d690aad367bbfe1e84a13ce8e2e22d3	135865	Insecta	Coleoptera	Staphylinidae	LR799917.1	89.139	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_DTIII5536-22	ae1e58fb3735fe71ab816d68474cfd7780ee9d462a017ed454e4991ec8bb5e98	1763974	Insecta	Hymenoptera	Diapriidae	LR799917.1	89.077	531	100.000	BOLD_COI-5P_CHOLE080-10	651982	Insecta	Coleoptera	Leiodidae	97.833	600	100.000	cluster_a65b6bd99007	3	3	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_ASINH019-12	c174e776601f2ead39355d2cc047f7458f27e781b13bc074892d77e64c314fe0	203808	Insecta	Hymenoptera	Apidae	LR799917.1	88.764	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_CNJAC356-12	d880cfee01ce608cc481047adbe6ea9f162fafdaec0eb98ffd112a52802659b3	33406	Insecta	Diptera	Cecidomyiidae	LR799917.1	88.512	531	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_GMARL1332-14	46402d11288950271b062a1691f4697e58b57804bc1c88134fed9a1091d1f73f	29035	Insecta	Diptera	Mycetophilidae	LR799917.1	88.390	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_BMBFM083-18	d3762135240d044bf2d3fbf623859178bec27d45d0ff0f960f80e8079f73504f	201906	Insecta	Coleoptera	Curculionidae	LR799917.1	88.368	533	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_GBAH20470-19	bc8e6298fb7b4f3f7536266bb5f98e7eeb4cd084840cfeeb32475d99aab2176e	297369	Insecta	Hymenoptera	Braconidae	LR799917.1	88.224	535	100.000	BOLD_COI-5P_DTIII5536-22	1763974	Insecta	Hymenoptera	Diapriidae	97.368	646	100.000	cluster_a65b6bd99007	3	3	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_NZIND358-22	2e30eaad9563d7dd398329579031065debe285a7131361716675933e186337c8	-5712	Insecta	Coleoptera	Ptiliidae	LR799917.1	88.015	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_DTNHM4263-22	ddcc0ca4a37051626221ae383e294f6feec15acaccd30b92ec3cff911db1826a	986713	Malacostraca	Isopoda	Armadillidiidae	LR799917.1	87.453	534	100.000	BOLD_COI-5P_FINCO004-20	370032	Collembola	Entomobryomorpha	Isotomidae	99.380	645	100.000	cluster_dc298d94e11e	2	2	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_FINCO004-20	4334a72d36c59f3d608d76fb572883b513975fcf4d3fe9ee66950d9952479e84	370032	Collembola	Entomobryomorpha	Isotomidae	LR799917.1	87.266	534	100.000	BOLD_COI-5P_DTNHM4263-22	986713	Malacostraca	Isopoda	Armadillidiidae	99.380	645	100.000	cluster_dc298d94e11e	2	2	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_SSBAD5954-13	4cf586999fc9c1c6e73832bb1a17ce2c0d62dd2839eeed6984362c13c6fc42fb	700654	Arachnida	Araneae	Hahniidae	LR799917.1	87.079	534	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_CHOLE080-10	05b70915404166085c7741e06d65d29d81d5c8f25fb0a71e8cfb967f68a016e4	651982	Insecta	Coleoptera	Leiodidae	LR799917.1	86.704	534	100.000	BOLD_COI-5P_DTIII5536-22	1763974	Insecta	Hymenoptera	Diapriidae	97.833	600	100.000	cluster_a65b6bd99007	3	3	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
KP422389_1	8782187956fbb09af388f9b9cea7d86ec6f7168432a8745a5db5bd3a851a8761	29026	Insecta	Coleoptera	Staphylinidae	LR799917.1	85.687	531	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_BETN15653-23	5d46ac6bfa057bb72a396200d76add13ef6ecc6abe2844a15e0318242a7fce7d	-2668	Insecta	Coleoptera	Carabidae	LR799917.1	86.639	479	90.207									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
